organism,total_fraction_mean,total_fraction_sd,length_mean,length_sd
Drosophila pseudoobscura,28.359,9.882,984.000,504.874
Drosophila gunungcola,24.021,1.522,579.333,15.948
Drosophila biarmipes,23.823,3.050,479.800,132.566
Drosophila willistoni,25.775,6.250,449.000,199.404
Drosophila simulans,24.279,2.922,556.000,37.014
Drosophila santomea,24.187,2.104,576.000,23.302
Drosophila teissieri,24.178,3.653,585.000,24.042
Drosophila ficusphila,22.428,3.398,583.000,17.907
Drosophila yakuba,24.145,2.498,570.667,27.791
Drosophila elegans,28.658,7.716,776.000,338.926
Drosophila obscura,24.594,1.542,576.333,39.804
Drosophila subpulchrella,26.113,6.515,520.667,126.800
Drosophila subobscura,25.862,4.087,631.000,249.604
Drosophila mauritiana,24.772,2.774,576.000,19.975
Drosophila sechellia,29.261,6.605,838.000,359.036
Drosophila persimilis,26.015,6.096,726.500,147.785
Drosophila serrata,20.500,0.000,600.000,0.000
Drosophila virilis,11.258,1.830,5275.333,609.971
Drosophila montana,23.146,0.000,553.000,0.000
Drosophila nasuta,22.815,2.433,579.500,58.690
Drosophila albomicans,20.740,0.000,622.000,0.000
Drosophila innubila,22.695,0.000,564.000,0.000
Drosophila navojoa,31.177,5.843,770.000,383.676
Drosophila hydei,35.596,4.535,833.500,829.436
Drosophila arizonae,24.841,3.011,460.000,183.848
Drosophila grimshawi,18.863,1.424,2514.000,951.720
Drosophila busckii,23.993,0.000,571.000,0.000
Drosophila bipectinata,24.391,3.520,593.667,7.095
Drosophila madeirensis,28.983,4.204,777.571,388.328
Drosophila ananassae,20.833,0.000,600.000,0.000
Drosophila rhopaloa,24.406,3.173,552.000,70.571
Drosophila eugracilis,25.342,5.723,612.400,121.329
Drosophila guanche,31.926,3.231,890.111,227.643
Drosophila miranda,29.243,6.676,927.667,360.952
Drosophila erecta,21.776,0.735,611.000,14.142
Drosophila sulfurigaster albostrigata,21.406,0.000,640.000,0.000
Drosophila mojavensis,22.311,0.000,623.000,0.000
Drosophila novamexicana,12.987,0.956,5191.118,321.960
Scaptodrosophila lebanonensis,20.428,0.000,514.000,0.000
Bactrocera oleae,21.480,0.000,1527.000,0.000
Bactrocera neohumeralis,21.588,0.184,1490.592,44.216
Bactrocera tryoni,21.425,0.045,1492.500,69.174
Bactrocera latifrons,23.231,3.662,1174.500,595.087
Zeugodacus cucurbitae,22.973,2.478,1313.600,361.859
Eurosta solidaginis,22.131,0.037,1757.667,12.702
Anastrepha obliqua,23.346,0.015,1592.000,3.464
Rhagoletis zephyria,27.043,4.621,1046.500,887.419
Anastrepha ludens,23.292,0.017,1625.000,4.243
Bactrocera dorsalis,22.370,1.740,1314.720,386.088
Rhagoletis pomonella,29.326,0.000,341.000,0.000
Ceratitis capitata,21.885,0.085,1584.000,6.000
Calliphora vicina,20.522,4.081,1226.800,560.620
Lucilia sericata,22.413,2.958,983.667,497.390
Musca vetustissima,20.674,3.686,1969.333,1563.701
Stomoxys calcitrans,17.459,4.867,2075.250,210.500
Musca domestica,21.817,6.185,1348.273,542.196
Eupeodes corollae,18.616,0.082,1754.000,49.497
Episyrphus balteatus,17.428,2.820,1375.000,641.814
Condylostylus longicornis,41.743,0.000,2295.000,0.000
Teleopsis dalmanni,23.050,0.028,1981.000,79.038
Hermetia illucens,33.179,12.508,955.800,597.162
Chironomus tepperi,23.066,0.687,253.500,7.778
Culicoides brevitarsis,40.131,0.000,765.000,0.000
Aedes albopictus,25.637,6.404,757.500,788.738
Aedes aegypti,27.469,12.827,1151.000,1039.447
Topomyia yanbarensis,24.059,5.892,700.333,106.308
Malaya genurostris,24.422,0.843,298.571,25.890
Uranotaenia lowii,32.711,6.382,351.000,86.267
Culex pipiens pallens,24.455,3.562,304.000,32.534
Anopheles ziemanni,17.102,0.312,1438.000,596.798
Anopheles moucheti,31.697,8.410,348.333,81.132
Anopheles maculipalpis,32.928,1.271,407.000,2.828
Anopheles funestus,29.300,12.306,488.333,256.971
Anopheles aquasalis,37.908,2.215,395.000,21.213
Anopheles darlingi,33.656,5.367,412.667,13.429
Anopheles albimanus,29.742,6.934,350.400,51.394
Ochlerotatus camptorhynchus,22.414,0.000,290.000,0.000
Armigeres subalbatus,26.524,0.592,324.000,41.170
Wyeomyia smithii,24.654,3.851,520.333,94.246
Culex quinquefasciatus,23.473,0.392,289.429,29.137
Anopheles gambiae,28.334,6.300,388.562,224.469
Anopheles coustani,17.102,0.312,1438.000,596.798
Anopheles bellator,23.937,0.000,447.000,0.000
Anopheles marshallii,32.229,3.347,380.500,21.920
Anopheles cruzii,35.294,0.000,391.000,0.000
Anopheles coluzzii,23.827,8.538,1181.944,670.388
Anopheles merus,26.902,9.227,1061.438,790.472
Anopheles arabiensis,25.733,9.255,1128.176,757.097
Anopheles stephensi,33.736,0.963,419.500,3.000
Toxorhynchites rutilus septentrionalis,20.545,11.280,1001.714,559.653
Phlebotomus argentipes,22.565,0.590,310.000,16.971
