organism,type,n,count_mean,count_sd,percent_mean,percent_sd,length_mean
Neodiprion pinetum,heavy chain,2,1.000,0.000,0.893,0.000,448.000
Neodiprion lecontei,heavy chain,3,3.000,0.000,1.980,0.000,909.000
Neodiprion lecontei,heavy chain,2,19.000,0.000,8.361,0.000,909.000
Neodiprion fabricii,heavy chain,3,3.000,0.000,1.985,0.000,907.000
Neodiprion fabricii,heavy chain,2,18.000,0.000,7.938,0.000,907.000
Neodiprion virginianus,heavy chain,3,2.500,0.707,2.099,0.174,725.500
Neodiprion virginianus,heavy chain,2,9.667,9.018,5.670,3.287,550.333
Diprion similis,heavy chain,2,1.000,0.000,2.000,0.000,200.000
Athalia rosae,heavy chain,4,1.000,0.000,1.905,0.000,420.000
Athalia rosae,heavy chain,2,5.000,0.000,4.762,0.000,420.000
Cephus cinctus,heavy chain,4,1.000,0.000,2.185,0.247,368.500
Cephus cinctus,heavy chain,3,2.000,1.414,3.146,1.946,368.500
Cephus cinctus,heavy chain,2,5.500,0.707,5.965,0.092,368.500
Leptopilina boulardi,heavy chain,2,1.000,0.000,0.193,0.015,2087.444
Belonocnema kinseyi,heavy chain,2,6.500,7.778,2.341,1.973,854.000
Belonocnema kinseyi,heavy chain,4,1.000,0.000,0.623,0.000,1285.000
Belonocnema kinseyi,heavy chain,3,3.000,0.000,1.401,0.000,1285.000
Trichogramma pretiosum,heavy chain,3,1.000,0.000,2.105,0.000,285.000
Trichogramma pretiosum,heavy chain,2,4.000,0.000,5.614,0.000,285.000
Nasonia vitripennis,heavy chain,3,3.000,0.000,2.631,0.411,692.500
Nasonia vitripennis,heavy chain,2,5.000,0.000,2.924,0.457,692.500
Phymastichus coffea,heavy chain,4,1.000,0.000,1.154,0.000,693.000
Phymastichus coffea,heavy chain,3,1.000,0.000,0.866,0.000,693.000
Phymastichus coffea,heavy chain,2,5.000,0.000,2.886,0.000,693.000
Ceratosolen solmsi marchali,heavy chain,2,11.000,0.000,9.955,0.096,442.000
Diachasmimorpha longicaudata,heavy chain,2,25.048,22.225,7.573,3.982,1114.905
Diachasmimorpha longicaudata,heavy chain,6,1.000,0.000,1.290,0.058,931.833
Diachasmimorpha longicaudata,heavy chain,4,22.294,22.849,11.775,7.820,1223.941
Diachasmimorpha longicaudata,heavy chain,3,13.105,6.724,7.911,4.893,1158.947
Diachasmimorpha longicaudata,heavy chain,10,1.000,0.000,1.040,0.038,1925.000
Diachasmimorpha longicaudata,heavy chain,5,4.000,0.000,2.080,0.076,1925.000
Fopius arisanus,heavy chain,6,1.000,0.000,3.061,0.000,392.000
Fopius arisanus,heavy chain,5,1.000,0.000,2.551,0.000,392.000
Fopius arisanus,heavy chain,4,6.000,0.000,12.245,0.000,392.000
Fopius arisanus,heavy chain,3,9.000,0.000,13.776,0.000,392.000
Fopius arisanus,heavy chain,2,10.000,0.000,10.204,0.000,392.000
Microplitis mediator,heavy chain,2,22.000,23.123,9.488,6.611,734.250
Microplitis mediator,heavy chain,9,2.000,0.000,3.140,0.101,1147.000
Microplitis mediator,heavy chain,4,1.000,0.000,0.698,0.022,1147.000
Microplitis mediator,heavy chain,3,39.000,1.414,20.400,0.086,1147.000
Cotesia glomerata,heavy chain,5,2.667,2.887,3.110,3.770,982.000
Cotesia glomerata,heavy chain,4,3.333,1.211,2.790,0.946,941.500
Cotesia glomerata,heavy chain,3,1.000,0.000,0.624,0.058,969.000
Cotesia glomerata,heavy chain,2,57.167,24.523,23.683,9.289,941.500
Cotesia glomerata,heavy chain,15,5.000,0.000,18.657,0.000,804.000
Cotesia glomerata,heavy chain,14,1.000,0.000,3.483,0.000,804.000
Cotesia glomerata,heavy chain,8,1.000,0.000,1.990,0.000,804.000
Cotesia glomerata,heavy chain,6,1.000,0.000,1.493,0.000,804.000
Microplitis demolitor,heavy chain,11,1.000,0.000,2.187,0.000,1006.000
Microplitis demolitor,heavy chain,6,1.000,0.000,1.193,0.000,1006.000
Microplitis demolitor,heavy chain,5,32.000,0.000,31.809,0.000,1006.000
Microplitis demolitor,heavy chain,4,2.000,0.000,1.590,0.000,1006.000
Microplitis demolitor,heavy chain,3,34.000,0.000,20.278,0.000,1006.000
Microplitis demolitor,heavy chain,2,5.000,0.000,1.988,0.000,1006.000
Chelonus insularis,heavy chain,2,2.000,0.000,5.079,0.023,157.500
Aphidius gifuensis,heavy chain,6,1.000,0.000,0.870,0.515,1637.400
Aphidius gifuensis,heavy chain,5,34.250,2.217,18.230,0.214,1879.000
Aphidius gifuensis,heavy chain,4,38.750,3.202,16.484,0.336,1879.000
Aphidius gifuensis,heavy chain,3,2.600,0.894,0.948,0.066,1637.400
Aphidius gifuensis,heavy chain,2,7.000,2.236,2.337,2.361,1637.400
Aphidius gifuensis,heavy chain,7,1.000,0.000,2.086,0.000,671.000
Vespula squamosa,heavy chain,2,1.000,0.000,1.533,0.000,261.000
Vespula vulgaris,heavy chain,4,1.740,0.443,1.948,0.425,707.160
Vespula vulgaris,heavy chain,2,14.647,4.014,8.226,1.910,698.471
Vespula vulgaris,heavy chain,3,1.000,0.000,2.273,0.000,264.000
Vespula maculifrons,heavy chain,3,1.500,0.707,4.020,2.135,228.000
Vespula maculifrons,heavy chain,2,2.000,1.414,3.602,2.727,228.000
Vespula pensylvanica,heavy chain,5,1.000,0.000,2.632,0.000,380.000
Vespula pensylvanica,heavy chain,3,1.000,0.000,1.579,0.000,380.000
Vespula pensylvanica,heavy chain,2,7.000,0.000,7.368,0.000,380.000
Vespa velutina,heavy chain,4,11.000,0.000,10.590,0.000,831.000
Vespa velutina,heavy chain,3,1.000,0.000,0.722,0.000,831.000
Vespa velutina,heavy chain,2,10.000,0.000,4.813,0.000,831.000
Vespa mandarinia,heavy chain,4,5.000,0.000,5.642,0.000,709.000
Vespa mandarinia,heavy chain,3,2.000,0.000,1.693,0.000,709.000
Vespa mandarinia,heavy chain,2,5.000,0.000,2.821,0.000,709.000
Polistes fuscatus,heavy chain,3,1.000,0.000,1.350,0.802,540.000
Polistes fuscatus,heavy chain,2,19.333,15.503,9.572,7.519,833.333
Polistes fuscatus,heavy chain,5,1.000,0.000,0.704,0.000,1420.000
Polistes fuscatus,heavy chain,4,9.000,0.000,5.070,0.000,1420.000
Polistes canadensis,heavy chain,2,5.000,0.000,3.597,0.000,556.000
Dinoponera quadriceps,heavy chain,3,1.000,0.000,1.089,0.000,551.000
Dinoponera quadriceps,heavy chain,2,10.000,0.000,7.260,0.000,551.000
Mycetomoellerius zeteki,heavy chain,2,2.000,0.000,2.759,0.000,290.000
Acromyrmex echinatior,heavy chain,2,5.000,0.000,4.751,0.000,421.000
Lasius niger,heavy chain,2,2.000,0.000,3.333,0.000,240.000
Cataglyphis hispanica,heavy chain,5,1.000,0.000,0.752,0.000,1330.000
Cataglyphis hispanica,heavy chain,4,2.000,0.000,1.203,0.000,1330.000
Cataglyphis hispanica,heavy chain,3,3.000,0.000,1.353,0.000,1330.000
Cataglyphis hispanica,heavy chain,2,24.000,0.000,7.218,0.000,1330.000
Prorops nasuta,heavy chain,3,2.000,0.000,0.214,0.000,5606.000
Prorops nasuta,heavy chain,2,7.000,0.000,0.499,0.000,5606.000
Osmia bicornis bicornis,heavy chain,3,1.833,0.408,1.394,1.073,996.667
Osmia bicornis bicornis,heavy chain,2,14.667,5.354,5.761,0.644,996.667
Ceratina calcarata,heavy chain,5,1.000,0.000,0.997,0.106,1011.333
Ceratina calcarata,heavy chain,2,6.500,1.732,3.396,0.981,840.750
Ceratina calcarata,heavy chain,3,1.000,0.000,1.824,0.000,329.000
Frieseomelitta varia,heavy chain,3,3.308,1.109,1.818,0.446,1099.385
Frieseomelitta varia,heavy chain,2,18.462,4.484,6.723,0.621,1099.385
Frieseomelitta varia,heavy chain,4,2.000,0.000,1.373,0.047,1166.667
Bombus pyrosoma,heavy chain,4,1.000,0.000,0.671,0.000,1191.500
