organism,type,n,count_mean,count_sd,percent_mean,percent_sd,length_mean
Yponomeuta cagnagella,heavy chain,5,1.000,0.000,0.173,0.000,5766.000
Yponomeuta cagnagella,heavy chain,3,16.000,0.000,1.665,0.000,5766.000
Yponomeuta cagnagella,heavy chain,2,189.000,0.000,13.111,0.000,5766.000
Plutella xylostella,heavy chain,3,22.750,22.237,4.351,2.430,2588.000
Plutella xylostella,heavy chain,2,88.000,43.012,14.728,7.812,2588.000
Plutella xylostella,heavy chain,7,17.500,2.121,5.758,0.055,4253.000
Plutella xylostella,heavy chain,6,1.000,0.000,0.284,0.032,4253.000
Plutella xylostella,heavy chain,5,6.000,8.583,1.555,1.909,2858.000
Plutella xylostella,heavy chain,4,3.000,0.000,1.048,0.080,2300.000
Cydia amplana,heavy chain,3,2.500,2.121,2.208,1.190,613.000
Cydia amplana,heavy chain,2,8.000,5.657,4.872,1.736,613.000
Cydia strobilella,heavy chain,2,1.000,0.000,1.562,0.000,256.000
Cydia fagiglandana,heavy chain,2,1.500,0.707,1.845,0.391,316.000
Leguminivora glycinivorella,heavy chain,2,6.167,9.390,2.277,2.259,931.833
Leguminivora glycinivorella,heavy chain,3,2.500,2.121,1.208,0.278,1150.500
Leguminivora glycinivorella,heavy chain,4,4.000,0.000,1.874,0.000,1708.000
Tineola bisselliella,heavy chain,2,28.000,0.000,13.576,0.000,825.000
Eumeta japonica,heavy chain,2,2.750,2.283,1.639,1.069,864.375
Eumeta japonica,heavy chain,3,1.286,0.756,0.734,0.322,1304.286
Amyelois transitella,heavy chain,4,30.500,0.707,5.886,0.111,4145.500
Amyelois transitella,heavy chain,3,102.000,0.000,14.763,0.063,4145.500
Amyelois transitella,heavy chain,2,108.000,0.000,10.421,0.044,4145.500
Achroia grisella,heavy chain,2,39.000,48.083,5.870,0.103,2629.000
Galleria mellonella,heavy chain,3,11.000,0.000,1.100,0.000,5998.000
Galleria mellonella,heavy chain,2,43.000,59.397,3.242,3.431,3244.000
Aphomia sociella,heavy chain,3,1.000,0.000,0.066,0.001,9075.000
Aphomia sociella,heavy chain,2,86.500,0.926,3.813,0.001,9075.000
Haritalodes derogata,heavy chain,3,1.000,0.000,1.364,0.000,440.000
Haritalodes derogata,heavy chain,2,1.000,0.000,0.909,0.000,440.000
Ostrinia furnacalis,heavy chain,2,2.000,1.414,1.972,1.701,449.000
Ostrinia nubilalis,heavy chain,5,1.000,0.000,0.201,0.000,4963.000
Ostrinia nubilalis,heavy chain,2,17.333,2.517,4.997,4.151,2515.333
Ostrinia nubilalis,heavy chain,3,6.500,0.707,4.255,3.411,1291.500
Parapoynx stratiotata,heavy chain,3,1.000,0.000,0.085,0.001,7101.000
Parapoynx stratiotata,heavy chain,2,2.500,0.707,0.141,0.037,7101.000
Acentria ephemerella,heavy chain,2,151.000,12.728,9.548,0.443,6320.500
Elophila obliteralis,heavy chain,2,5.000,0.000,0.318,0.010,6301.000
Nymphula nitidulata,heavy chain,2,35.000,2.828,2.373,0.001,5899.000
Colias croceus,heavy chain,2,16.500,21.920,1.744,1.483,2579.000
Colias croceus,heavy chain,6,1.000,0.000,0.262,0.000,4583.000
Colias croceus,heavy chain,5,1.000,0.000,0.218,0.000,4583.000
Colias croceus,heavy chain,4,1.000,0.000,0.175,0.000,4583.000
Colias croceus,heavy chain,3,86.000,0.000,11.259,0.000,4583.000
Leptidea sinapis,heavy chain,4,20.077,1.458,7.398,0.469,2177.538
Leptidea sinapis,heavy chain,3,21.375,3.256,5.881,0.929,2216.775
Leptidea sinapis,heavy chain,2,14.100,6.559,2.527,0.894,2216.775
Leptidea sinapis,heavy chain,5,1.000,0.000,0.368,0.000,2715.000
Pieris brassicae,heavy chain,2,29.299,7.809,8.382,1.380,1431.412
Pieris brassicae,heavy chain,5,12.581,2.239,7.034,0.551,1783.256
