organism,type,n,count_mean,count_sd,percent_mean,percent_sd,length_mean
Neomicropteryx cornuta,light chain,2,3.000,0.000,3.974,0.000,302.000
Yponomeuta cagnagella,light chain,2,2.000,0.000,3.101,0.000,258.000
Plutella xylostella,light chain,2,2.000,0.000,3.175,0.000,252.000
Cydia strobilella,light chain,3,1.000,0.000,2.308,0.000,260.000
Cydia strobilella,light chain,2,1.000,0.000,1.538,0.000,260.000
Cydia fagiglandana,light chain,3,1.000,0.000,2.308,0.000,260.000
Cydia fagiglandana,light chain,2,1.000,0.000,1.538,0.000,260.000
Cydia amplana,light chain,3,1.000,0.000,2.308,0.000,260.000
Leguminivora glycinivorella,light chain,3,1.000,0.000,2.308,0.000,260.000
Leguminivora glycinivorella,light chain,2,1.000,0.000,1.538,0.000,260.000
Tineola bisselliella,light chain,2,2.000,0.000,3.053,0.000,262.000
Eumeta japonica,light chain,3,1.000,0.000,2.823,0.701,222.667
Eumeta japonica,light chain,2,1.929,1.685,2.718,1.075,282.071
Amyelois transitella,light chain,2,2.000,0.000,3.019,0.000,265.000
Aphomia sociella,light chain,2,5.000,0.000,7.491,0.000,267.000
Achroia grisella,light chain,2,2.000,0.000,2.996,0.000,267.000
Corcyra cephalonica,light chain,3,1.000,0.000,2.247,0.000,267.000
Corcyra cephalonica,light chain,2,2.000,0.000,2.996,0.000,267.000
Galleria mellonella,light chain,2,2.000,0.000,2.996,0.000,267.000
Haritalodes derogata,light chain,2,1.000,0.000,1.498,0.000,267.000
Ostrinia furnacalis,light chain,2,1.000,0.000,1.521,0.000,263.000
Ostrinia nubilalis,light chain,2,1.000,0.000,1.521,0.000,263.000
Colias croceus,light chain,2,3.000,0.000,4.478,0.000,268.000
Leptidea sinapis,light chain,3,1.000,0.000,2.247,0.000,267.000
Leptidea sinapis,light chain,2,3.000,0.000,4.494,0.000,267.000
Papilio xuthus,light chain,3,1.000,0.000,2.754,0.622,224.667
Papilio xuthus,light chain,2,1.500,0.577,3.085,0.560,196.000
Papilio machaon,light chain,2,2.000,0.000,3.113,0.000,257.000
Papilio machaon,light chain,3,1.000,0.000,2.335,0.000,257.000
Papilio polytes,light chain,2,2.000,0.000,3.101,0.000,258.000
Battus philenor,light chain,2,2.000,0.000,3.065,0.000,261.000
Melitaea cinxia,light chain,2,1.000,0.000,1.498,0.000,267.000
Maniola hyperantus,light chain,2,1.000,0.000,1.581,0.000,253.000
Bicyclus anynana,light chain,2,1.000,0.000,1.556,0.000,257.000
Danaus plexippus,light chain,2,1.000,0.000,1.476,0.000,271.000
Vanessa atalanta,light chain,2,1.000,0.000,1.493,0.000,268.000
Vanessa tameamea,light chain,2,1.000,0.000,1.493,0.000,268.000
Vanessa cardui,light chain,2,1.000,0.000,1.493,0.000,268.000
Nymphalis io,light chain,2,2.000,0.000,2.985,0.000,268.000
Spodoptera frugiperda,light chain,3,1.000,0.000,2.299,0.000,261.000
Spodoptera frugiperda,light chain,2,1.000,0.000,1.533,0.000,261.000
Spodoptera litura,light chain,3,1.000,0.000,2.299,0.000,261.000
Spodoptera litura,light chain,2,1.000,0.000,1.533,0.000,261.000
Trichoplusia ni,light chain,2,2.000,0.000,3.226,0.000,248.000
Helicoverpa armigera,light chain,2,1.000,0.000,1.533,0.000,261.000
Anticarsia gemmatalis,light chain,2,1.000,0.000,1.521,0.000,263.000
Epargyreus clarus,light chain,3,1.000,0.000,2.105,0.000,285.000
Pectinophora gossypiella,light chain,3,1.000,0.000,2.372,0.000,253.000
Phthorimaea operculella,light chain,3,1.000,0.000,2.620,0.000,229.000
Phthorimaea operculella,light chain,2,3.000,0.000,5.240,0.000,229.000
Hyposmocoma kahamanoa,light chain,2,1.000,0.000,1.575,0.000,254.000
Manduca sexta,light chain,2,3.000,0.000,8.295,4.015,169.667
Manduca sexta,light chain,3,1.000,0.000,2.353,0.000,255.000
Bombyx mori,light chain,2,1.714,0.488,2.595,0.783,266.000
Phymatopus californicus,light chain,2,3.200,0.789,4.808,1.169,266.300
Phymatopus californicus,light chain,3,1.000,0.000,2.230,0.000,269.000
Choristoneura fumiferana,light chain,3,1.000,0.000,2.299,0.000,261.000
Choristoneura fumiferana,light chain,2,1.000,0.000,1.533,0.000,261.000
Cydia pomonella,light chain,3,1.000,0.000,2.308,0.000,260.000
Cydia pomonella,light chain,2,1.000,0.000,1.538,0.000,260.000
Cydia splendana,light chain,3,1.000,0.000,2.308,0.000,260.000
Cydia splendana,light chain,2,1.000,0.000,1.538,0.000,260.000
Plodia interpunctella,light chain,2,3.000,0.000,4.545,0.000,264.000
Ephestia kuehniella,light chain,2,1.000,0.000,1.515,0.000,264.000
Cnaphalocrocis medinalis,light chain,2,2.000,0.000,3.065,0.000,261.000
Zerene cesonia,light chain,3,1.000,0.000,2.239,0.000,268.000
Zerene cesonia,light chain,2,2.000,0.000,2.985,0.000,268.000
Pseudoips prasinana,light chain,2,1.000,0.000,1.504,0.000,266.000
Helicoverpa zea,light chain,2,1.000,0.000,1.533,0.000,261.000
Bombyx mandarina,light chain,2,2.000,0.000,3.053,0.000,262.000
