organism,type,x_A,x_V,x_L,x_I,x_M,x_F,x_W,x_P,x_G,x_S,x_T,x_C,x_Y,x_N,x_Q,x_D,x_E,x_K,x_R,x_H
Avicularia juruensis,MaSp1,27.755,2.007,5.034,0.000,0.000,4.631,0.000,2.745,7.099,30.351,11.180,0.000,4.291,0.957,1.667,1.049,0.000,0.000,1.235,0.000
Macrothele holsti,MaSp1,0.000,0.000,0.000,25.000,0.000,0.000,0.000,0.000,0.000,50.000,0.000,0.000,0.000,25.000,0.000,0.000,0.000,0.000,0.000,0.000
Psechrus sinensis,MaSp1,0.000,0.000,0.000,25.000,0.000,0.000,0.000,0.000,0.000,50.000,0.000,0.000,0.000,25.000,0.000,0.000,0.000,0.000,0.000,0.000
Euprosthenops australis,MaSp1,46.259,15.141,0.791,0.000,0.000,0.000,0.000,9.589,0.000,17.841,0.395,0.000,0.395,0.000,0.000,0.000,0.000,0.000,9.589,0.000
Peucetia viridans,MaSp1,26.667,6.667,6.667,0.000,0.000,0.000,0.000,0.000,40.000,0.000,13.333,0.000,0.000,6.667,0.000,0.000,0.000,0.000,0.000,0.000
Kukulcania hibernalis,MaSp1,18.056,0.000,0.000,4.167,0.000,4.167,0.000,0.000,43.056,22.222,0.000,0.000,0.000,0.000,4.167,0.000,4.167,0.000,0.000,0.000
Octonoba varians,MaSp1,8.485,3.636,0.000,20.000,0.000,0.000,0.000,1.818,3.636,40.606,0.000,0.000,0.000,10.000,0.000,0.000,3.333,6.667,1.818,0.000
Octonoba okinawensis,MaSp1,16.667,11.111,0.000,0.000,0.000,0.000,0.000,5.556,0.000,36.111,0.000,0.000,0.000,0.000,0.000,0.000,8.333,16.667,5.556,0.000
Latrodectus mactans,MaSp1,0.000,0.000,0.000,0.000,0.000,50.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,50.000,0.000,0.000,0.000,0.000,0.000
Trichonephila senegalensis,MaSp1,0.000,0.000,0.000,50.000,0.000,0.000,0.000,0.000,0.000,50.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Trichonephila clavipes,MaSp1,5.760,1.176,1.078,28.725,0.588,0.588,0.000,0.000,10.466,31.078,1.667,0.000,0.956,2.917,6.471,0.490,2.157,5.882,0.000,0.000
Argiope trifasciata,MaSp1,50.000,0.000,0.000,16.667,0.000,0.000,0.000,0.000,0.000,16.667,0.000,0.000,0.000,16.667,0.000,0.000,0.000,0.000,0.000,0.000
Argiope amoena,MaSp1,50.000,0.000,16.667,0.000,0.000,0.000,0.000,0.000,0.000,16.667,0.000,0.000,0.000,16.667,0.000,0.000,0.000,0.000,0.000,0.000
Uloborus diversus,MaSp1,0.000,28.571,0.000,0.000,0.000,0.000,0.000,0.000,0.000,42.857,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,28.571,0.000
Octonoba yesoensis,MaSp1,13.889,11.111,0.000,0.000,0.000,0.000,0.000,5.556,0.000,30.556,0.000,0.000,8.333,8.333,0.000,0.000,0.000,16.667,5.556,0.000
Octonoba sybotides,MaSp1,18.056,11.111,0.000,0.000,0.000,0.000,0.000,5.556,0.000,28.472,0.000,0.000,6.250,6.250,0.000,0.000,6.250,12.500,5.556,0.000
Octonoba grandiprojecta,MaSp1,21.212,9.091,0.000,0.000,0.000,0.000,0.000,4.545,9.091,26.515,0.000,0.000,0.000,0.000,0.000,0.000,8.333,16.667,4.545,0.000
Octonoba grandiconcava,MaSp1,22.222,11.111,0.000,0.000,0.000,0.000,0.000,5.556,0.000,30.556,0.000,0.000,0.000,0.000,0.000,0.000,8.333,16.667,5.556,0.000
Steatoda grossa,MaSp1,4.167,0.000,8.333,0.000,0.000,0.000,0.000,0.000,33.333,4.167,0.000,0.000,0.000,8.333,4.167,0.000,0.000,16.667,20.833,0.000
Parasteatoda tepidariorum,MaSp1,17.117,3.734,8.470,15.905,0.556,3.000,0.000,0.556,9.301,6.905,2.500,0.000,0.000,8.784,7.436,2.548,7.673,0.000,4.893,0.625
