organism,type,n,count_mean,count_sd,percent_mean,percent_sd,length_mean
Pardosa pseudoannulata,AcSp,4,13.333,11.240,2.809,2.182,3434.000
Pardosa pseudoannulata,AcSp,3,22.500,23.101,3.581,3.495,3404.750
Pardosa pseudoannulata,AcSp,2,74.750,37.322,8.479,2.994,3404.750
Pardosa pseudoannulata,AcSp,5,1.000,0.000,0.338,0.051,2995.000
Trichonephila clavipes,AcSp,5,1.000,0.000,0.311,0.000,3211.000
Trichonephila clavipes,AcSp,4,2.000,0.000,0.498,0.000,3211.000
Trichonephila clavipes,AcSp,3,18.000,0.000,3.363,0.000,3211.000
Trichonephila clavipes,AcSp,2,33.000,0.000,4.111,0.000,3211.000
Neoscona theisi,AcSp,2,120.000,0.000,10.248,0.000,4684.000
Argiope trifasciata,AcSp,4,1.000,0.000,4.020,0.000,199.000
Argiope trifasciata,AcSp,3,1.000,0.000,3.015,0.000,199.000
Argiope trifasciata,AcSp,2,2.000,0.000,4.020,0.000,199.000
Latrodectus hesperus,AcSp,2,13.000,27.350,6.952,2.311,1030.000
Latrodectus hesperus,AcSp,3,1.000,0.000,3.352,1.821,1381.600
Trichonephila antipodiana,AcSp,3,1.000,0.000,5.505,0.000,109.000
Trichonephila antipodiana,AcSp,2,1.667,1.155,5.263,2.760,120.000
Neoscona scylloides,AcSp,3,24.000,0.000,3.036,0.000,4743.000
Neoscona scylloides,AcSp,2,74.000,0.000,6.241,0.000,4743.000
Argiope argentata,AcSp,4,21.000,0.000,3.751,0.000,4479.000
Argiope argentata,AcSp,3,23.000,0.000,3.081,0.000,4479.000
Argiope argentata,AcSp,2,51.000,0.000,4.555,0.000,4479.000
Araneus ventricosus,AcSp,6,15.000,0.000,5.225,0.000,3445.000
Araneus ventricosus,AcSp,3,6.714,8.939,1.008,1.240,3729.429
Araneus ventricosus,AcSp,2,31.143,19.437,3.217,1.550,3729.429
Araneus ventricosus,AcSp,5,15.000,7.071,3.463,1.122,4222.500
Araneus ventricosus,AcSp,4,10.333,3.512,2.608,0.998,3257.333
