organism,type,x_A,x_V,x_L,x_I,x_F,x_P,x_G,x_S,x_T,x_Y,x_N,x_Q,x_D,x_E,x_K,x_R,x_H
Rhagoletis pomonella,heavy chain,2.564,0.855,0.000,1.709,0.000,0.855,70.940,1.709,0.855,0.000,0.000,11.111,5.128,0.855,2.564,0.000,0.855
Musca vetustissima,heavy chain,6.061,4.545,3.030,0.000,1.515,0.000,34.848,25.758,0.000,12.121,0.000,1.515,1.515,0.000,1.515,3.030,4.545
Drosophila navojoa,heavy chain,33.333,0.000,11.111,0.000,0.000,0.000,11.111,11.111,11.111,0.000,11.111,0.000,11.111,0.000,0.000,0.000,0.000
Drosophila guanche,heavy chain,0.000,14.286,14.286,0.000,0.000,14.286,28.571,0.000,0.000,0.000,0.000,0.000,0.000,14.286,0.000,0.000,14.286
Teleopsis dalmanni,heavy chain,12.048,1.807,12.651,13.855,0.602,0.000,48.795,9.036,0.602,0.000,0.000,0.000,0.000,0.000,0.602,0.000,0.000
