organism,type,n,count_mean,count_sd,percent_mean,percent_sd,length_mean
Neomicropteryx cornuta,Unknown_type,2,1.500,0.707,1.442,0.727,420.000
Yponomeuta evonymella,Unknown_type,5,1.000,0.000,2.427,0.000,412.000
Yponomeuta evonymella,Unknown_type,3,1.000,0.000,1.456,0.000,412.000
Yponomeuta evonymella,Unknown_type,2,9.000,0.000,8.738,0.000,412.000
Eumeta japonica,Unknown_type,2,2.230,2.440,4.842,3.736,272.199
Eumeta japonica,Unknown_type,3,1.345,1.469,4.259,3.982,458.754
Eumeta japonica,Unknown_type,5,1.000,0.000,4.460,4.079,427.571
Eumeta japonica,Unknown_type,4,1.067,0.254,5.452,5.178,372.933
Eumeta japonica,Unknown_type,7,1.000,0.000,11.336,6.467,147.500
Eumeta japonica,Unknown_type,6,1.000,0.000,0.682,0.000,1759.000
Galleria mellonella,Unknown_type,3,1.500,0.707,1.086,0.380,955.500
Galleria mellonella,Unknown_type,2,12.000,7.071,5.476,1.194,955.500
Iphiclides podalirius,Unknown_type,2,1.333,0.577,1.932,0.357,273.000
Spodoptera frugiperda,Unknown_type,2,2.000,0.000,1.656,0.000,483.000
Helicoverpa armigera,Unknown_type,8,1.000,0.000,5.735,0.000,279.000
Helicoverpa armigera,Unknown_type,2,2.000,0.000,2.867,0.000,279.000
Operophtera brumata,Unknown_type,2,3.000,0.000,5.854,0.000,205.000
Hyposmocoma kahamanoa,Unknown_type,2,1.000,0.000,1.633,0.000,245.000
Saturnia japonica,Unknown_type,5,1.000,0.000,1.009,0.000,991.000
Saturnia japonica,Unknown_type,3,2.000,0.000,1.211,0.000,991.000
Saturnia japonica,Unknown_type,2,36.000,0.000,14.531,0.000,991.000
Rhodinia fugax,Unknown_type,3,1.000,0.000,0.491,0.000,1221.000
Rhodinia fugax,Unknown_type,2,55.000,0.000,18.018,0.000,1221.000
Antheraea pernyi,Unknown_type,3,1.000,0.000,6.648,9.089,297.333
Antheraea pernyi,Unknown_type,2,7.000,5.196,10.035,1.218,297.333
Andraca theae,Unknown_type,3,1.000,0.000,1.543,0.034,389.000
Andraca theae,Unknown_type,2,1.500,1.000,2.113,0.921,291.500
Bombyx mori,Unknown_type,2,3.000,0.000,9.347,4.136,143.333
Ephestia kuehniella,Unknown_type,4,1.000,0.000,3.796,1.059,221.333
Ephestia kuehniella,Unknown_type,3,4.000,2.000,10.357,2.823,221.333
Ephestia kuehniella,Unknown_type,2,8.667,3.512,15.522,4.801,221.333
Ephestia kuehniella,Unknown_type,7,2.000,0.000,11.231,1.484,251.500
Ephestia kuehniella,Unknown_type,6,1.000,0.000,4.364,0.000,275.000
Ephestia kuehniella,Unknown_type,5,1.000,0.000,4.386,0.000,228.000
Brenthis ino,Unknown_type,3,1.000,0.000,2.734,0.847,230.500
Brenthis ino,Unknown_type,2,3.000,0.000,4.013,0.000,299.000
Cricula trifenestrata,Unknown_type,3,3.000,0.000,6.186,0.000,291.000
Cricula trifenestrata,Unknown_type,2,2.000,0.000,2.749,0.000,291.000
Antheraea mylitta,Unknown_type,2,14.000,0.000,11.045,0.000,507.000
Bombyx mandarina,Unknown_type,2,2.000,0.000,4.494,0.000,178.000
