organism,type,x_A,x_V,x_L,x_I,x_M,x_F,x_W,x_P,x_G,x_S,x_T,x_C,x_Y,x_N,x_Q,x_D,x_E,x_K,x_R
Trichonephila clavipes,MaSp2,38.889,0.000,0.521,2.083,0.000,2.083,1.910,0.000,29.572,9.491,2.431,0.000,0.000,0.000,3.125,2.083,3.125,3.125,1.562
Uloborus diversus,MaSp2,10.000,0.000,0.000,0.000,0.000,0.000,0.000,10.000,0.000,40.000,30.000,0.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000
Octonoba sybotides,MaSp2,20.000,17.500,2.500,20.000,2.500,0.000,0.000,2.500,5.000,12.500,0.000,0.000,0.000,0.000,2.500,0.000,2.500,5.000,7.500
Parasteatoda tepidariorum,MaSp2,16.111,0.000,0.000,13.889,0.000,13.095,0.000,1.429,1.587,9.524,14.524,0.000,1.429,0.000,1.429,0.000,13.095,0.000,13.889
Latrodectus hesperus,MaSp2,22.727,4.545,0.000,0.000,0.000,0.000,0.000,0.000,36.364,18.182,0.000,4.545,4.545,4.545,4.545,0.000,0.000,0.000,0.000
Trichonephila inaurata madagascariensis,MaSp2,13.571,0.000,3.571,0.000,0.000,0.000,8.571,0.000,22.143,25.714,8.571,0.000,0.000,0.000,7.143,0.000,0.000,7.143,3.571
Trichonephila clavata,MaSp2,19.444,2.778,1.852,5.556,0.000,0.000,6.481,1.852,22.222,17.593,7.407,0.000,0.926,0.000,9.259,0.000,1.852,1.852,0.926
Nephila pilipes,MaSp2,15.346,4.510,1.190,7.141,0.000,3.571,3.444,0.000,22.100,5.722,2.506,1.087,2.381,11.524,8.079,0.000,0.000,5.825,5.573
Caerostris extrusa,MaSp2,3.922,13.725,0.000,1.961,0.000,0.000,0.000,0.000,58.824,5.882,1.961,0.000,1.961,1.961,5.882,0.000,0.000,3.922,0.000
Argiope bruennichi,MaSp2,33.131,0.000,2.083,5.314,0.000,1.282,0.000,2.897,13.988,13.365,0.000,0.333,3.846,6.731,1.282,0.000,0.000,15.413,0.333
Argiope argentata,MaSp2,50.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.667,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,33.333,0.000
Araneus ventricosus,MaSp2,32.328,10.446,0.000,4.277,0.641,1.136,0.000,1.777,8.188,9.228,0.641,1.250,0.000,6.777,8.587,0.000,0.000,11.055,3.668
Araneus diadematus,MaSp2,50.000,12.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.500,0.000,0.000,25.000,0.000
