organism,type,n,count_mean,count_sd,percent_mean,percent_sd,length_mean
Euprosthenops australis,MaSp2,4,1.000,0.000,1.345,0.000,595.000
Euprosthenops australis,MaSp2,2,2.000,0.000,1.345,0.000,595.000
Kukulcania hibernalis,MaSp2,10,1.000,0.000,10.811,0.000,185.000
Kukulcania hibernalis,MaSp2,7,1.000,0.000,7.568,0.000,185.000
Kukulcania hibernalis,MaSp2,6,1.000,0.000,6.047,0.622,199.500
Kukulcania hibernalis,MaSp2,5,2.000,0.000,10.078,1.036,199.500
Kukulcania hibernalis,MaSp2,3,1.500,0.707,4.425,1.672,199.500
Kukulcania hibernalis,MaSp2,2,6.500,2.121,13.322,5.623,199.500
Kukulcania hibernalis,MaSp2,13,1.000,0.000,12.150,0.000,214.000
Kukulcania hibernalis,MaSp2,8,1.000,0.000,7.477,0.000,214.000
Stegodyphus mimosarum,MaSp2,4,1.000,0.000,1.636,0.000,489.000
Stegodyphus mimosarum,MaSp2,3,1.000,0.000,1.227,0.000,489.000
Stegodyphus mimosarum,MaSp2,2,6.000,0.000,4.908,0.000,489.000
Octonoba varians,MaSp2,2,6.000,0.000,6.366,0.000,377.000
Octonoba okinawensis,MaSp2,2,6.000,0.000,8.759,0.000,274.000
Trichonephila senegalensis,MaSp2,2,2.000,0.000,3.478,0.000,230.000
Trichonephila clavipes,MaSp2,2,3.000,1.595,4.858,2.820,266.667
Trichonephila clavipes,MaSp2,3,1.500,0.707,3.112,0.805,281.000
Trichonephila clavipes,MaSp2,4,2.000,0.000,4.908,0.000,326.000
Argiope trifasciata,MaSp2,2,3.000,0.000,3.238,1.752,445.333
Argiope amoena,MaSp2,2,3.429,0.976,5.195,1.417,263.000
Uloborus diversus,MaSp2,5,1.000,0.000,6.478,1.718,160.000
Uloborus diversus,MaSp2,2,4.500,0.707,11.903,4.924,160.000
Octonoba yesoensis,MaSp2,2,6.000,0.000,5.206,0.000,461.000
Octonoba grandiprojecta,MaSp2,4,1.000,0.000,2.787,0.000,287.000
Octonoba grandiprojecta,MaSp2,2,4.000,0.000,5.575,0.000,287.000
Octonoba grandiconcava,MaSp2,4,1.000,0.000,1.562,0.000,512.000
Octonoba grandiconcava,MaSp2,2,3.000,0.000,2.344,0.000,512.000
Deinopis spinosa,MaSp2,4,1.000,0.000,0.835,0.068,961.000
Deinopis spinosa,MaSp2,2,4.333,2.309,3.479,3.857,758.333
Parasteatoda tepidariorum,MaSp2,2,1.800,1.789,3.724,3.486,447.800
Parasteatoda tepidariorum,MaSp2,3,1.000,0.000,8.955,0.000,67.000
Latrodectus hesperus,MaSp2,2,3.222,1.394,4.323,2.195,379.889
Latrodectus geometricus,MaSp2,2,2.000,1.000,2.047,0.968,386.667
Trichonephila inaurata madagascariensis,MaSp2,2,4.500,3.109,2.040,1.703,1070.000
Trichonephila inaurata madagascariensis,MaSp2,3,3.000,0.000,2.311,0.000,779.000
Parawixia bistriata,MaSp2,2,2.000,0.000,1.774,0.000,451.000
Gasteracantha cancriformis,MaSp2,2,2.000,0.000,2.339,0.000,342.000
Caerostris darwini,MaSp2,4,2.000,0.000,0.496,0.000,3227.000
Caerostris darwini,MaSp2,3,2.000,0.000,1.031,0.932,1968.500
Caerostris darwini,MaSp2,2,10.000,9.899,1.899,0.295,1968.500
Argiope bruennichi,MaSp2,4,1.000,0.000,1.798,0.000,445.000
Argiope bruennichi,MaSp2,3,4.000,0.000,5.393,0.000,445.000
Argiope bruennichi,MaSp2,2,10.000,0.000,8.989,0.000,445.000
Argiope aurantia,MaSp2,2,2.000,0.000,2.292,0.000,349.000
Argiope argentata,MaSp2,4,1.000,0.000,2.692,0.249,298.500
Argiope argentata,MaSp2,2,2.714,1.704,5.676,2.159,191.571
Argiope argentata,MaSp2,5,1.000,0.000,3.145,0.000,318.000
Argiope argentata,MaSp2,3,1.000,0.000,3.046,0.000,197.000
Araneus diadematus,MaSp2,4,1.250,0.500,4.795,1.887,216.500
Araneus diadematus,MaSp2,3,1.200,0.447,3.655,1.359,206.400
Araneus diadematus,MaSp2,2,3.375,0.916,7.495,1.990,187.000
