organism,type,x_A,x_V,x_G,x_S,x_Q,x_D,x_E,x_K
Osmia lignaria lignaria,fibroin 2,0.000,25.000,12.500,37.500,0.000,12.500,0.000,12.500
Megachile rotundata,fibroin 2,50.000,0.000,0.000,25.000,0.000,25.000,0.000,0.000
Bombus terrestris,fibroin 2,60.000,0.000,0.000,0.000,20.000,0.000,20.000,0.000
