organism,type,n,count_mean,count_sd,percent_mean,percent_sd,length_mean
Diguetia canities,Major_ampullate_unspecified,2,2.500,1.000,2.716,1.272,385.500
Diguetia canities,Major_ampullate_unspecified,5,1.000,0.000,3.125,0.000,320.000
Diguetia canities,Major_ampullate_unspecified,3,1.000,0.000,1.875,0.000,320.000
Euprosthenops australis,Major_ampullate_unspecified,4,1.000,0.000,1.457,0.000,549.000
Euprosthenops australis,Major_ampullate_unspecified,2,3.000,0.000,2.186,0.000,549.000
Argyroneta aquatica,Major_ampullate_unspecified,3,3.000,1.414,5.630,2.080,373.000
Argyroneta aquatica,Major_ampullate_unspecified,2,5.000,4.243,5.140,0.574,373.000
Cybaeus angustiarum,Major_ampullate_unspecified,5,1.000,0.000,4.822,1.804,223.000
Cybaeus angustiarum,Major_ampullate_unspecified,2,9.500,5.802,8.226,3.444,578.250
Cybaeus angustiarum,Major_ampullate_unspecified,3,2.000,1.732,2.187,1.393,677.000
Cybaeus angustiarum,Major_ampullate_unspecified,4,1.000,0.000,1.185,0.000,675.000
Nephilingis cruentata,Major_ampullate_unspecified,3,1.000,0.000,1.188,0.000,505.000
Nephilingis cruentata,Major_ampullate_unspecified,2,2.000,0.000,1.584,0.000,505.000
Agelenopsis aperta,Major_ampullate_unspecified,3,2.000,1.414,2.102,0.135,585.000
Agelenopsis aperta,Major_ampullate_unspecified,2,12.667,10.970,11.200,5.365,462.333
