organism,type,serine_count_mean,serine_count_sd,serine_fraction_mean,serine_fraction_sd,length_mean,length_sd
Aedes aegypti,heavy chain,144.000,0.000,7.635,0.000,1886.000,0.000
Aedes albopictus,heavy chain,126.000,0.000,6.502,0.000,1938.000,0.000
Anastrepha ludens,heavy chain,131.000,0.000,8.062,0.021,1625.000,4.243
Anastrepha obliqua,heavy chain,122.000,0.000,7.663,0.017,1592.000,3.464
Anopheles albimanus,heavy chain,43.600,15.110,12.193,2.474,350.400,51.394
Anopheles aquasalis,heavy chain,45.500,12.021,11.454,2.428,395.000,21.213
Anopheles arabiensis,heavy chain,125.875,0.354,6.641,0.036,1895.500,15.556
Anopheles bellator,heavy chain,20.000,0.000,4.474,0.000,447.000,0.000
Anopheles coluzzii,heavy chain,115.545,10.802,6.829,0.063,1692.455,162.626
Anopheles coustani,heavy chain,110.500,13.435,8.196,2.467,1438.000,596.798
Anopheles cruzii,heavy chain,55.000,0.000,14.066,0.000,391.000,0.000
Anopheles darlingi,heavy chain,50.333,14.640,12.141,3.171,412.667,13.429
Anopheles funestus,heavy chain,84.500,34.648,14.270,0.265,594.500,253.851
Anopheles gambiae,heavy chain,83.000,0.000,6.888,0.000,1205.000,0.000
Anopheles maculipalpis,heavy chain,68.500,4.950,16.835,1.333,407.000,2.828
Anopheles marshallii,heavy chain,38.000,16.971,9.875,3.891,380.500,21.920
Anopheles merus,heavy chain,129.000,0.000,6.687,0.000,1929.000,0.000
Anopheles moucheti,heavy chain,44.000,17.349,12.257,2.513,348.333,81.132
Anopheles stephensi,heavy chain,64.250,4.500,15.322,1.191,419.500,3.000
Anopheles ziemanni,heavy chain,110.500,13.435,8.196,2.467,1438.000,596.798
Armigeres subalbatus,heavy chain,35.000,3.808,10.828,0.398,324.000,41.170
Bactrocera dorsalis,heavy chain,128.000,0.000,8.531,0.137,1500.800,24.008
Bactrocera latifrons,heavy chain,137.000,0.000,9.308,0.079,1472.000,12.490
Bactrocera neohumeralis,heavy chain,120.204,3.416,8.067,0.216,1490.592,44.216
Bactrocera oleae,heavy chain,140.000,0.000,9.168,0.000,1527.000,0.000
