organism,type,x_A,x_L,x_M,x_W,x_P,x_G,x_S,x_Y,x_N,x_Q,x_E,x_K
Anoplolepis gracilipes,fibroin 4,60.000,5.000,0.000,5.000,0.000,15.000,15.000,0.000,0.000,0.000,0.000,0.000
Osmia lignaria lignaria,fibroin 4,40.000,0.000,0.000,0.000,0.000,0.000,20.000,0.000,0.000,10.000,0.000,30.000
Megachile rotundata,fibroin 4,50.000,0.000,10.000,10.000,10.000,0.000,10.000,0.000,0.000,10.000,0.000,0.000
Bombus terrestris,fibroin 4,8.333,0.000,0.000,0.000,0.000,8.333,25.000,8.333,8.333,8.333,25.000,8.333
Apis mellifera carnica,fibroin 4,37.500,0.000,0.000,0.000,0.000,12.500,25.000,0.000,0.000,12.500,0.000,12.500
Apis mellifera caucasica,fibroin 4,37.500,0.000,0.000,0.000,0.000,12.500,25.000,0.000,0.000,12.500,0.000,12.500
Apis mellifera,fibroin 4,37.500,0.000,0.000,0.000,0.000,12.500,25.000,0.000,0.000,12.500,0.000,12.500
Apis dorsata,fibroin 4,33.333,0.000,0.000,0.000,0.000,16.667,16.667,0.000,0.000,16.667,0.000,16.667
