organism,type,x_A,x_V,x_L,x_I,x_M,x_F,x_W,x_P,x_G,x_S,x_T,x_C,x_Y,x_N,x_Q,x_D,x_E,x_K,x_R,x_H
Yponomeuta cagnagella,heavy chain,25.986,0.464,0.000,0.000,0.000,0.000,0.000,0.000,69.374,3.248,0.928,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Plutella xylostella,heavy chain,33.913,1.429,0.216,0.481,0.000,0.000,0.000,0.433,21.545,35.817,2.773,0.000,0.216,1.130,0.000,0.433,0.701,0.000,0.216,0.697
Cydia amplana,heavy chain,10.101,0.000,0.000,0.000,0.000,16.414,0.000,4.545,20.202,14.646,0.000,0.000,7.323,15.657,2.778,2.778,0.000,2.778,0.000,2.778
Cydia strobilella,heavy chain,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,50.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,50.000
Cydia fagiglandana,heavy chain,25.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.500,12.500,25.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25.000
Leguminivora glycinivorella,heavy chain,32.797,3.458,0.000,3.395,0.000,2.735,0.000,0.641,27.778,14.398,1.943,0.427,3.030,1.068,2.991,0.000,3.395,1.515,0.427,0.000
Tineola bisselliella,heavy chain,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,33.929,58.929,1.786,0.000,0.000,0.000,1.786,1.786,0.000,0.000,0.000,1.786
Eumeta japonica,heavy chain,8.189,9.784,10.991,5.145,2.834,6.102,1.937,2.573,5.955,8.610,8.197,1.507,2.967,1.409,2.254,4.481,5.097,4.506,6.646,0.817
Amyelois transitella,heavy chain,38.043,0.000,0.000,0.155,0.000,0.000,0.000,0.000,27.096,31.289,1.087,0.000,0.000,0.155,0.000,1.863,0.155,0.000,0.155,0.000
Achroia grisella,heavy chain,52.192,0.000,0.342,0.000,0.000,0.000,0.000,5.000,14.247,0.000,0.000,0.000,20.000,0.000,0.000,0.000,7.877,0.342,0.000,0.000
Galleria mellonella,heavy chain,25.616,0.985,0.000,0.000,0.000,0.000,0.000,0.246,11.823,9.852,0.246,0.000,0.000,0.246,0.000,0.246,25.000,25.000,0.739,0.000
Aphomia sociella,heavy chain,95.454,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.409,1.136,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Haritalodes derogata,heavy chain,80.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Ostrinia furnacalis,heavy chain,0.000,16.667,0.000,0.000,8.333,0.000,0.000,0.000,33.333,8.333,25.000,0.000,0.000,0.000,0.000,0.000,8.333,0.000,0.000,0.000
Ostrinia nubilalis,heavy chain,27.866,1.228,4.575,0.000,0.000,0.000,0.000,4.575,33.405,8.296,0.654,4.575,0.000,14.250,0.000,0.000,0.000,0.000,0.575,0.000
Parapoynx stratiotata,heavy chain,30.952,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.698,43.651,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.698
Acentria ephemerella,heavy chain,15.539,0.000,0.000,0.000,0.000,0.000,0.000,7.603,65.990,8.268,0.000,0.000,0.000,0.000,0.000,0.801,0.176,0.645,0.977,0.000
Elophila obliteralis,heavy chain,20.000,0.000,0.000,0.000,0.000,0.000,0.000,40.000,10.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20.000
Nymphula nitidulata,heavy chain,1.433,0.000,0.000,0.000,0.000,0.000,0.000,0.000,95.700,1.433,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.433
Colias croceus,heavy chain,13.501,0.148,0.148,0.000,0.000,0.000,0.000,0.000,15.727,60.237,0.148,0.000,0.000,0.593,8.160,0.000,0.742,0.000,0.593,0.000
Leptidea sinapis,heavy chain,28.226,0.984,0.565,0.091,0.000,0.000,0.000,0.352,28.621,33.979,1.455,0.000,0.000,3.580,1.107,0.023,1.006,0.000,0.011,0.000
Pieris brassicae,heavy chain,4.538,2.158,1.241,0.000,0.000,0.000,0.000,0.064,79.504,7.381,2.772,0.000,0.255,0.340,0.552,0.290,0.000,0.212,0.566,0.128
Pieris rapae,heavy chain,17.918,0.109,0.000,2.151,0.000,0.000,0.000,0.000,45.520,7.081,1.307,17.204,2.151,0.000,2.151,0.000,0.000,0.000,4.410,0.000
Pieris napi,heavy chain,1.972,3.023,0.218,0.000,0.000,0.000,0.218,0.000,70.300,2.516,1.389,0.000,1.389,18.730,0.000,0.028,0.000,0.218,0.000,0.000
Papilio xuthus,heavy chain,20.667,25.000,0.000,12.500,0.000,0.000,0.000,0.000,12.667,27.167,1.333,0.000,0.000,0.667,0.000,0.000,0.000,0.000,0.000,0.000
Papilio polytes,heavy chain,0.000,0.000,13.514,0.000,0.000,13.514,0.000,2.703,18.919,10.811,2.703,0.000,13.514,5.405,0.000,0.000,2.703,5.405,2.703,8.108
Papilio machaon,heavy chain,11.846,7.967,0.000,4.053,0.000,0.576,0.000,3.863,15.644,14.316,9.273,0.000,7.303,9.054,0.027,1.705,0.035,0.018,14.295,0.026
Battus philenor,heavy chain,22.020,4.973,0.417,1.852,0.000,0.000,0.000,0.926,42.370,8.819,1.613,0.417,7.407,3.102,0.000,1.546,0.000,0.000,0.417,4.120
Maniola hyperantus,heavy chain,3.668,1.383,7.273,1.287,0.000,3.716,0.000,2.525,38.780,15.245,2.429,0.000,6.719,9.389,3.668,0.865,1.383,1.190,0.000,0.481
Melitaea cinxia,heavy chain,25.182,0.364,1.457,0.182,0.000,0.364,0.000,0.000,10.018,25.228,8.333,0.000,1.093,10.883,0.911,1.457,4.372,0.364,0.182,9.608
Vanessa atalanta,heavy chain,28.693,0.299,0.000,8.333,0.000,0.000,8.333,14.621,21.806,9.281,8.333,0.000,0.000,0.000,0.000,0.000,0.000,0.299,0.000,0.000
Nymphalis io,heavy chain,24.378,0.108,0.000,8.679,0.000,0.000,5.000,0.645,5.054,32.488,5.430,0.000,0.000,0.108,9.539,0.000,0.000,0.000,0.000,8.571
Danaus plexippus,heavy chain,17.689,7.366,3.663,1.872,0.000,3.663,0.000,5.535,10.376,10.752,5.575,1.832,1.872,6.009,12.775,0.040,0.000,7.326,1.872,1.786
Vanessa cardui,heavy chain,36.729,0.000,1.282,0.000,0.000,0.000,0.000,3.191,39.270,9.893,0.207,0.000,3.846,5.581,0.000,0.000,0.000,0.000,0.000,0.000
Pararge aegeria,heavy chain,34.693,0.490,2.496,0.000,0.000,3.431,0.000,7.609,10.550,9.626,9.091,6.250,0.980,1.359,0.980,0.490,1.894,2.340,0.000,7.721
Bicyclus anynana,heavy chain,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25.000,0.000,0.000,8.333,16.667,0.000,0.000,0.000,0.000,50.000,0.000
Maniola jurtina,heavy chain,26.908,5.974,2.410,0.000,0.000,0.000,0.000,0.000,3.614,23.996,9.639,0.000,0.602,8.333,3.614,0.000,10.743,4.167,0.000,0.000
Vanessa tameamea,heavy chain,16.436,1.619,2.956,2.259,0.000,0.000,0.000,3.482,26.515,17.470,4.018,0.000,5.729,2.983,8.063,0.697,2.976,1.646,0.000,3.152
Aricia agestis,heavy chain,9.791,0.283,1.111,3.980,0.000,3.846,0.000,1.888,32.767,14.864,8.349,0.000,3.081,8.027,0.334,1.338,4.381,1.282,3.862,0.815
Spodoptera litura,heavy chain,27.679,3.571,0.000,3.571,0.000,6.250,0.000,3.571,20.536,10.714,7.143,0.000,9.821,0.000,3.571,0.000,0.000,0.000,0.000,3.571
Spodoptera frugiperda,heavy chain,20.296,4.515,1.603,0.962,0.000,4.407,0.000,5.312,27.323,11.235,4.927,0.321,5.872,1.080,5.837,0.000,3.446,0.321,0.118,2.427
Trichoplusia ni,heavy chain,15.485,7.013,0.000,7.499,0.000,0.000,0.000,3.030,9.231,17.562,12.627,0.000,5.594,0.952,0.000,7.326,3.030,0.000,6.667,3.983
Helicoverpa armigera,heavy chain,14.067,8.411,0.070,5.007,0.000,4.141,0.000,8.896,18.558,14.103,8.762,0.000,5.994,2.186,1.202,2.046,0.386,1.321,0.000,4.849
Pectinophora gossypiella,heavy chain,21.919,0.472,2.564,1.113,0.000,7.148,0.641,2.866,14.431,29.672,1.887,0.472,1.282,0.472,2.358,3.125,1.923,1.584,0.943,5.128
Hyposmocoma kahamanoa,heavy chain,16.234,0.000,2.273,0.000,0.000,6.818,0.000,0.000,18.506,4.545,0.000,0.000,28.571,7.143,11.364,0.000,0.000,2.273,0.000,2.273
Manduca sexta,heavy chain,14.424,0.473,0.536,0.135,0.010,0.144,0.000,19.534,29.758,26.622,2.736,0.000,0.536,2.311,0.000,1.987,0.265,0.265,0.019,0.246
Antheraea assamensis,heavy chain,34.266,0.000,0.000,0.000,0.000,0.000,0.000,0.000,33.566,16.783,0.000,0.000,0.000,0.000,0.000,15.385,0.000,0.000,0.000,0.000
Bombyx mori,heavy chain,2.632,3.904,0.000,0.680,0.000,0.000,0.000,0.000,35.862,1.952,1.952,0.000,3.904,2.632,1.952,20.608,17.384,1.952,4.585,0.000
Cydia splendana,heavy chain,21.389,5.410,0.000,1.028,0.000,3.084,0.000,3.084,13.227,28.196,2.500,2.056,1.028,3.084,11.804,1.028,1.028,0.000,2.056,0.000
