organism,type,fraction_mean,fraction_sd,length_mean,length_sd
Agelenopsis aperta,Major_ampullate_unspecified,12.601,4.293,462.333,377.472
Agelenopsis aperta,TuSp,16.398,7.565,328.667,133.770
Aliatypus aquilonius,Unknown_type,19.574,0.000,235.000,0.000
Aliatypus californicus,Unknown_type,18.750,0.589,240.000,0.000
Aliatypus coylei,Unknown_type,22.772,0.000,202.000,0.000
Aliatypus erebus,Unknown_type,15.000,0.000,240.000,0.000
Aliatypus gnomus,Unknown_type,20.000,0.000,240.000,0.000
Aliatypus gulosus,Unknown_type,18.909,3.632,614.333,782.698
Aliatypus isolatus,Unknown_type,21.239,0.000,226.000,0.000
Aliatypus janus,Unknown_type,23.834,0.000,193.000,0.000
Aliatypus plutonis,Unknown_type,15.329,1.379,196.500,17.678
Aliatypus thompsoni,Unknown_type,10.056,0.000,179.000,0.000
Aliatypus torridus,Unknown_type,16.268,0.000,209.000,0.000
Aliatypus trophonius,Unknown_type,13.333,0.000,240.000,0.000
Aphonopelma seemanni,Unknown_type,9.120,2.122,494.667,76.788
Aptostichus sp. AS217,Unknown_type,12.441,0.000,1061.000,0.000
Araneus bicentenarius,Unknown_type,7.606,3.565,157.500,111.016
Araneus diadematus,AcSp,8.131,4.975,268.167,103.449
Araneus diadematus,AgSp,1.197,1.085,387.000,370.118
Araneus diadematus,Flag,2.300,1.536,159.000,46.417
Araneus diadematus,MaSp1,11.585,8.114,149.000,31.113
Araneus diadematus,MaSp2,12.177,2.641,187.000,52.980
Araneus diadematus,MaSp3,13.953,0.000,172.000,0.000
Araneus diadematus,MiSp,7.637,1.167,221.857,56.188
Araneus diadematus,PySp,9.861,6.452,255.000,66.468
Araneus diadematus,TuSp,10.646,4.474,150.333,81.070
Araneus diadematus,Unknown_type,5.249,3.121,425.000,148.472
Araneus gemmoides,PySp,15.455,0.000,220.000,0.000
Araneus gemmoides,TuSp,34.026,11.562,474.000,254.558
Araneus marmoreus,AgSp,1.697,1.547,12094.750,5297.448
Araneus ventricosus,AcSp,8.056,0.000,1986.000,0.000
Araneus ventricosus,AgSp,0.214,0.287,1354.857,918.006
Araneus ventricosus,Flag,3.529,3.688,1111.500,1077.689
Araneus ventricosus,MaSp1,3.540,0.000,339.000,0.000
Araneus ventricosus,Unknown_type,2.964,4.130,199.547,253.867
Argiope amoena,AcSp,15.672,0.000,1072.000,0.000
Argiope amoena,MaSp1,8.571,0.000,140.000,0.000
Argiope amoena,MaSp2,5.195,1.417,263.000,9.018
Argiope amoena,TuSp,28.774,0.000,424.000,0.000
Argiope appensa,AgSp,2.218,3.043,8415.000,3436.055
Argiope argentata,AcSp,14.929,4.071,218.429,56.726
Argiope argentata,AgSp,0.860,2.260,4543.222,4507.811
Argiope argentata,MaSp1,12.543,1.401,205.000,101.823
Argiope argentata,MaSp2,7.329,2.989,191.571,82.016
Argiope argentata,MaSp3,8.744,2.613,218.500,144.957
Argiope argentata,MiSp,9.831,5.968,247.250,107.367
Argiope argentata,PySp,33.503,0.000,197.000,0.000
Argiope argentata,TuSp,19.740,10.078,309.667,230.656
Argiope argentata,Unknown_type,3.441,4.488,3089.154,1113.416
Argiope aurantia,AcSp,16.530,1.305,254.625,32.421
Argiope aurantia,AgSp,1.388,1.536,6217.250,3582.094
Argiope aurantia,MaSp1,0.895,0.000,447.000,0.000
Argiope aurantia,MaSp2,2.292,0.000,349.000,0.000
Argiope aurantia,TuSp,19.208,3.548,246.909,115.106
Argiope aurantia,Unknown_type,3.513,4.240,2794.929,969.301
Argiope bruennichi,MaSp1,6.220,0.000,418.000,0.000
Argiope bruennichi,MaSp2,16.180,0.000,445.000,0.000
Argiope bruennichi,Unknown_type,1.738,1.729,1304.667,1303.269
Argiope trifasciata,AcSp,18.622,2.717,309.269,516.855
Argiope trifasciata,AgSp,2.827,3.563,10619.667,3949.312
Argiope trifasciata,MaSp1,1.852,0.000,648.000,0.000
Argiope trifasciata,MaSp2,2.428,2.160,364.000,239.328
Argiope trifasciata,PySp,19.316,0.000,497.000,0.000
Argiope trifasciata,TuSp,16.664,1.532,204.200,6.197
Argiope trifasciata,Unknown_type,4.517,6.047,2701.182,1159.087
Argyroneta aquatica,AcSp,12.599,7.343,230.500,135.057
Argyroneta aquatica,Major_ampullate_unspecified,10.770,1.505,373.000,288.500
Argyroneta aquatica,PySp,15.302,7.408,326.667,234.351
Argyroneta aquatica,TuSp,10.213,0.000,235.000,0.000
Atypoides riversi,Unknown_type,23.862,0.000,1626.000,0.000
Avicularia juruensis,MaSp1,18.039,1.626,721.667,231.366
Avicularia juruensis,Unknown_type,46.737,0.000,475.000,0.000
Bothriocyrtum californicum,Unknown_type,12.917,4.397,740.750,413.911
Caerostris darwini,MaSp1,0.345,0.000,2316.000,0.000
Caerostris darwini,MaSp2,3.178,0.287,1968.500,1779.788
Caerostris darwini,Unknown_type,3.190,4.534,217.426,318.613
Caerostris extrusa,Flag,2.165,0.000,462.000,0.000
Caerostris extrusa,MaSp1,6.577,7.487,2107.900,1875.814
Caerostris extrusa,Unknown_type,3.360,4.706,163.634,239.596
Crossopriza lyoni,AgSp,0.943,1.334,254.000,59.397
Crossopriza lyoni,Unknown_type,10.228,5.719,272.375,269.392
Cybaeus angustiarum,Major_ampullate_unspecified,12.574,6.888,578.250,463.831
Cybaeus angustiarum,PySp,14.373,2.172,565.500,301.935
Cyrtophora citricola,Unknown_type,17.778,0.000,135.000,0.000
Cyrtophora moluccensis,MaSp1,9.266,1.744,116.500,4.243
Cyrtophora moluccensis,TuSp,20.243,0.000,247.000,0.000
Deinopis spinosa,Flag,0.866,0.000,462.000,0.000
Deinopis spinosa,MaSp2,4.036,3.376,758.333,355.312
Deinopis spinosa,MiSp,9.940,0.000,503.000,0.000
Deinopis spinosa,TuSp,11.779,0.000,815.000,0.000
Deinopis spinosa,Unknown_type,5.506,6.821,542.250,270.388
Diguetia canities,Major_ampullate_unspecified,3.966,3.364,385.500,139.029
Dolomedes tenebrosus,Unknown_type,5.499,0.000,691.000,0.000
Euagrus chisoseus,Unknown_type,20.102,0.684,1698.000,1363.302
Euprosthenops australis,MaSp1,8.267,4.031,359.652,252.657
Euprosthenops australis,MaSp2,1.345,1.901,525.500,98.288
Euprosthenops australis,Major_ampullate_unspecified,3.643,0.000,549.000,0.000
Gasteracantha cancriformis,MaSp2,2.339,0.000,342.000,0.000
Gea heptagon,TuSp,20.549,9.803,183.000,73.539
Hexura picea,Unknown_type,21.687,0.000,83.000,0.000
Hypochilus thorelli,Unknown_type,6.602,4.451,599.000,110.309
