organism,type,x_A,x_V,x_L,x_I,x_M,x_F,x_W,x_P,x_G,x_S,x_T,x_Y,x_N,x_Q,x_D,x_E,x_K,x_R,x_X
Octonoba varians,MiSp,31.340,0.000,7.177,0.000,2.632,0.000,0.000,0.000,14.354,22.249,2.632,4.545,4.545,7.895,0.000,0.000,0.000,2.632,0.000
Trichonephila clavipes,MiSp,17.060,2.473,4.338,5.833,1.667,0.000,0.000,0.000,8.715,24.969,8.306,6.917,0.000,0.000,8.333,11.389,0.000,0.000,0.000
Metepeira grandiosa,MiSp,11.667,8.333,0.000,0.000,0.000,0.000,0.000,0.000,35.000,28.333,8.333,3.333,0.000,5.000,0.000,0.000,0.000,0.000,0.000
Uloborus diversus,MiSp,50.000,0.000,0.000,0.000,2.500,0.000,0.000,0.000,10.833,15.833,0.000,10.833,0.000,10.000,0.000,0.000,0.000,0.000,0.000
Octonoba yesoensis,MiSp,46.218,0.000,2.941,0.000,2.941,0.000,0.000,0.000,0.000,26.050,2.941,7.143,0.000,8.824,0.000,0.000,0.000,2.941,0.000
Octonoba grandiprojecta,MiSp,25.926,0.000,3.704,0.000,3.704,0.000,0.000,0.000,22.222,25.926,3.704,0.000,0.000,11.111,0.000,0.000,0.000,3.704,0.000
Octonoba grandiconcava,MiSp,57.143,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,28.571,0.000,14.286,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Deinopis spinosa,MiSp,4.000,8.000,0.000,0.000,4.000,4.000,0.000,4.000,24.000,16.000,8.000,0.000,8.000,8.000,0.000,0.000,0.000,12.000,0.000
Steatoda grossa,MiSp,43.436,4.233,0.686,2.698,0.000,2.986,0.000,5.641,0.286,8.240,8.415,0.000,3.669,5.484,2.698,5.110,2.698,3.722,0.000
Parasteatoda tepidariorum,MiSp,30.859,2.680,2.949,2.729,0.000,0.000,0.000,1.803,20.489,11.014,5.897,0.000,3.875,7.159,1.803,1.803,1.803,5.136,0.000
Latrodectus tredecimguttatus,MiSp,27.762,7.429,0.000,0.479,0.000,0.513,0.000,0.000,6.275,20.323,10.797,2.348,6.661,3.060,0.479,4.385,8.625,0.479,0.385
Latrodectus hesperus,MiSp,19.139,8.378,0.000,4.003,0.000,0.000,0.000,1.875,4.375,19.628,9.257,0.970,3.411,6.444,4.003,6.191,8.007,4.316,0.000
Latrodectus geometricus,MiSp,26.970,3.477,0.000,2.813,0.000,0.000,1.754,0.000,8.645,16.978,10.428,0.077,1.794,6.771,2.813,5.854,3.122,8.504,0.000
Trichonephila antipodiana,MiSp,0.000,0.000,10.000,10.000,0.000,0.000,0.000,0.000,10.000,30.000,10.000,0.000,0.000,0.000,10.000,20.000,0.000,0.000,0.000
Nephilingis cruentata,MiSp,11.111,11.111,0.000,0.000,0.000,0.000,0.000,0.000,0.000,44.444,0.000,11.111,0.000,0.000,11.111,11.111,0.000,0.000,0.000
Parawixia bistriata,MiSp,20.000,0.000,0.000,10.000,10.000,0.000,0.000,0.000,0.000,50.000,0.000,0.000,0.000,10.000,0.000,0.000,0.000,0.000,0.000
Argiope argentata,MiSp,40.417,3.333,0.000,0.000,4.167,0.000,0.000,0.000,6.667,24.583,6.667,7.500,3.333,0.000,0.000,0.000,0.000,3.333,0.000
Araneus diadematus,MiSp,28.639,6.939,3.469,2.381,0.000,0.000,0.000,0.000,12.494,14.082,9.048,7.438,3.469,6.644,3.016,2.381,0.000,0.000,0.000
