organism,type,fraction_mean,fraction_sd,length_mean,length_sd
Acentria ephemerella,heavy chain,9.548,0.443,6320.500,239.709
Achroia grisella,heavy chain,5.870,0.103,2629.000,3230.064
Achroia grisella,light chain,2.996,0.000,267.000,0.000
Amyelois transitella,heavy chain,31.070,0.004,4145.500,17.678
Amyelois transitella,light chain,3.019,0.000,265.000,0.000
Andraca theae,Unknown_type,3.367,4.252,571.318,485.700
Antheraea assamensis,heavy chain,10.182,0.000,2809.000,0.000
Antheraea pernyi,Unknown_type,4.205,5.754,1037.333,1387.236
Antheraea yamamai,Unknown_type,10.743,0.041,2755.500,142.128
Anticarsia gemmatalis,light chain,1.521,0.000,263.000,0.000
Aphomia sociella,Unknown_type,3.587,0.000,223.000,0.000
Aphomia sociella,heavy chain,3.879,0.002,9075.000,99.989
Aphomia sociella,light chain,7.491,0.000,267.000,0.000
Arctia plantaginis,Unknown_type,1.079,0.895,257.308,80.127
Aricia agestis,Unknown_type,1.554,1.517,209.200,34.896
Aricia agestis,heavy chain,4.625,5.897,1703.571,1300.695
Battus philenor,Unknown_type,1.852,0.000,216.000,0.000
Battus philenor,heavy chain,9.552,0.879,2222.333,1896.087
Battus philenor,light chain,3.065,0.000,261.000,0.000
Bicyclus anynana,Unknown_type,1.287,1.820,506.000,383.252
Bicyclus anynana,heavy chain,0.935,0.024,855.667,21.939
Bicyclus anynana,light chain,1.556,0.000,257.000,0.000
Bombyx mandarina,Unknown_type,2.095,1.973,236.667,13.077
Bombyx mandarina,heavy chain,1.698,1.235,4506.600,2722.798
Bombyx mandarina,light chain,3.053,0.000,262.000,0.000
Bombyx mori,Unknown_type,3.667,7.300,344.935,309.144
Bombyx mori,heavy chain,1.822,1.952,3958.704,1976.383
Bombyx mori,light chain,2.595,0.783,266.000,6.831
Chilo suppressalis,Unknown_type,0.723,0.835,248.000,34.283
Choristoneura fumiferana,Unknown_type,1.849,1.919,289.333,74.648
Choristoneura fumiferana,light chain,3.831,0.000,261.000,0.000
Chrysodeixis includens,Unknown_type,2.680,0.924,248.667,1.155
Cnaphalocrocis medinalis,light chain,3.065,0.000,261.000,0.000
Colias croceus,Unknown_type,0.471,0.816,251.667,32.563
Colias croceus,heavy chain,7.701,9.907,2579.000,2834.084
Colias croceus,light chain,4.478,0.000,268.000,0.000
Colias eurytheme,Unknown_type,1.261,1.964,207.000,58.335
Corcyra cephalonica,light chain,5.243,0.000,267.000,0.000
