organism,type,n,count_mean,count_sd,percent_mean,percent_sd,length_mean
Physocyclus mexicanus,AcSp,2,2.000,0.000,5.479,0.000,146.000
Octonoba varians,AcSp,5,5.000,0.000,4.032,0.000,1240.000
Octonoba varians,AcSp,4,7.000,0.000,4.516,0.000,1240.000
Octonoba varians,AcSp,3,13.000,0.000,6.290,0.000,1240.000
Octonoba varians,AcSp,2,19.000,0.000,6.129,0.000,1240.000
Octonoba okinawensis,AcSp,5,5.000,0.000,4.496,0.000,1112.000
Octonoba okinawensis,AcSp,4,5.000,0.000,3.597,0.000,1112.000
Octonoba okinawensis,AcSp,3,14.000,0.000,7.554,0.000,1112.000
Octonoba okinawensis,AcSp,2,21.000,0.000,7.554,0.000,1112.000
Trichonephila clavipes,AcSp,2,4.000,0.000,7.729,0.000,207.000
Trichonephila clavipes,AcSp,3,1.000,0.000,5.263,0.000,114.000
Argiope trifasciata,AcSp,4,1.722,3.064,3.875,0.862,361.556
Argiope trifasciata,AcSp,3,2.269,2.459,5.152,1.585,309.269
Argiope trifasciata,AcSp,2,6.731,5.318,10.788,2.032,309.269
Argiope amoena,AcSp,5,5.000,0.000,4.664,0.000,1072.000
Argiope amoena,AcSp,3,5.000,0.000,2.799,0.000,1072.000
Argiope amoena,AcSp,2,22.000,0.000,8.209,0.000,1072.000
Argyroneta aquatica,AcSp,3,1.500,0.707,4.063,0.540,230.500
Argyroneta aquatica,AcSp,2,3.500,3.536,5.162,3.111,230.500
Argyroneta aquatica,AcSp,7,1.000,0.000,4.294,0.000,326.000
Argyroneta aquatica,AcSp,4,1.000,0.000,2.454,0.000,326.000
Octonoba yesoensis,AcSp,5,7.000,0.000,5.014,0.000,1396.000
Octonoba yesoensis,AcSp,4,8.000,0.000,4.585,0.000,1396.000
Octonoba yesoensis,AcSp,3,14.000,0.000,6.017,0.000,1396.000
Octonoba yesoensis,AcSp,2,27.000,0.000,7.736,0.000,1396.000
Octonoba sybotides,AcSp,5,8.500,6.364,2.906,0.128,2976.500
Octonoba sybotides,AcSp,4,12.500,12.021,3.017,0.877,2976.500
Octonoba sybotides,AcSp,3,28.000,24.042,5.395,0.638,2976.500
Octonoba sybotides,AcSp,2,67.000,56.569,8.679,0.833,2976.500
Octonoba grandiprojecta,AcSp,5,6.000,0.000,4.345,0.000,1381.000
Octonoba grandiprojecta,AcSp,4,7.000,0.000,4.055,0.000,1381.000
Octonoba grandiprojecta,AcSp,3,9.500,12.021,5.232,3.661,804.000
Octonoba grandiprojecta,AcSp,2,12.000,12.728,5.684,0.563,804.000
Octonoba grandiconcava,AcSp,5,3.000,0.000,2.135,0.000,1405.000
Octonoba grandiconcava,AcSp,4,7.000,0.000,3.986,0.000,1405.000
Octonoba grandiconcava,AcSp,3,18.000,0.000,7.687,0.000,1405.000
Octonoba grandiconcava,AcSp,2,27.000,0.000,7.687,0.000,1405.000
Steatoda grossa,AcSp,3,1.000,0.000,2.826,1.815,267.500
Steatoda grossa,AcSp,2,3.500,2.121,5.310,0.239,267.500
Parasteatoda tepidariorum,AcSp,4,1.000,0.000,3.101,0.000,258.000
Parasteatoda tepidariorum,AcSp,3,1.500,0.577,3.961,0.850,220.750
Parasteatoda tepidariorum,AcSp,2,3.667,1.366,8.339,3.343,188.000
Latrodectus hesperus,AcSp,2,6.727,1.555,8.417,1.856,333.273
Latrodectus hesperus,AcSp,3,1.000,0.000,2.597,0.000,231.000
Latrodectus geometricus,AcSp,3,1.000,0.000,2.308,0.000,260.000
Latrodectus geometricus,AcSp,2,4.333,1.155,5.561,1.338,314.667
Latrodectus geometricus,AcSp,4,1.000,0.000,1.990,0.000,402.000
Nephila pilipes,AcSp,2,6.000,0.000,8.421,0.000,285.000
Parawixia bistriata,AcSp,4,3.000,0.000,3.681,0.000,652.000
Parawixia bistriata,AcSp,3,3.000,0.000,2.761,0.000,652.000
Parawixia bistriata,AcSp,2,8.000,0.000,4.908,0.000,652.000
Argiope aurantia,AcSp,4,1.000,0.000,3.107,0.439,261.000
Argiope aurantia,AcSp,3,1.125,0.354,2.753,1.235,254.625
Argiope aurantia,AcSp,2,7.125,1.642,11.058,1.486,254.625
Argiope argentata,AcSp,4,1.000,0.000,3.182,0.563,257.364
Argiope argentata,AcSp,3,1.154,0.376,3.450,1.608,216.385
Argiope argentata,AcSp,2,5.810,1.914,10.747,2.999,218.429
Argiope argentata,AcSp,5,2.000,0.000,7.968,0.000,251.000
Araneus ventricosus,AcSp,6,9.000,0.000,5.438,0.000,1986.000
Araneus ventricosus,AcSp,2,13.000,0.000,2.618,0.000,1986.000
Araneus diadematus,AcSp,2,3.667,1.211,6.831,4.325,268.167
Araneus diadematus,AcSp,3,1.000,0.000,1.626,0.000,369.000
Araneus diadematus,AcSp,4,1.000,0.000,4.545,0.000,176.000
