organism,type,x_A,x_V,x_L,x_I,x_M,x_F,x_W,x_P,x_G,x_S,x_T,x_C,x_Y,x_N,x_Q,x_D,x_E,x_K,x_R,x_H,x_X
Poecilotheria regalis,Unknown_type,35.088,0.000,7.018,0.000,0.000,5.263,0.000,1.754,0.000,15.789,17.544,0.000,0.000,0.000,8.772,7.018,0.000,0.000,1.754,0.000,0.000
Avicularia juruensis,Unknown_type,0.901,0.000,0.000,0.901,0.000,0.000,0.000,0.000,95.495,0.901,0.000,0.901,0.000,0.901,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Aphonopelma seemanni,Unknown_type,28.111,4.632,1.961,1.961,0.000,10.080,0.000,3.243,5.882,11.966,12.645,0.000,1.282,0.000,4.632,1.282,5.807,0.000,6.517,0.000,0.000
Aptostichus sp. AS217,Unknown_type,10.606,1.515,3.030,0.000,0.000,0.000,0.000,1.515,12.121,56.061,10.606,1.515,0.000,0.000,1.515,0.000,1.515,0.000,0.000,0.000,0.000
Euagrus chisoseus,Unknown_type,58.364,5.697,2.666,0.000,0.000,0.000,0.000,0.000,4.273,24.179,3.214,0.000,0.730,0.000,0.877,0.000,0.000,0.000,0.000,0.000,0.000
Bothriocyrtum californicum,Unknown_type,24.761,0.660,1.702,4.529,0.000,1.747,0.000,1.404,3.086,23.962,26.501,0.000,1.042,2.064,2.426,0.660,1.747,0.000,3.711,0.000,0.000
Megahexura fulva,Unknown_type,51.351,5.405,5.405,0.000,0.000,2.703,0.000,0.000,2.703,13.514,8.108,0.000,2.703,2.703,5.405,0.000,0.000,0.000,0.000,0.000,0.000
Hexura picea,Unknown_type,33.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,33.333,11.111,0.000,0.000,0.000,22.222,0.000,0.000,0.000,0.000,0.000,0.000
Atypoides riversi,Unknown_type,17.010,0.000,4.124,0.000,0.000,0.515,0.000,0.000,8.763,37.629,1.546,0.000,4.124,6.701,0.000,6.186,3.608,4.639,4.639,0.515,0.000
Aliatypus trophonius,Unknown_type,6.250,18.750,0.000,6.250,0.000,0.000,0.000,0.000,12.500,25.000,6.250,0.000,0.000,12.500,6.250,0.000,6.250,0.000,0.000,0.000,0.000
Aliatypus torridus,Unknown_type,5.882,17.647,0.000,0.000,0.000,0.000,0.000,0.000,11.765,17.647,17.647,0.000,5.882,11.765,5.882,0.000,0.000,0.000,5.882,0.000,0.000
Aliatypus thompsoni,Unknown_type,22.222,22.222,0.000,0.000,0.000,0.000,0.000,0.000,11.111,0.000,22.222,0.000,0.000,11.111,11.111,0.000,0.000,0.000,0.000,0.000,0.000
Aliatypus plutonis,Unknown_type,10.000,13.333,0.000,0.000,0.000,0.000,0.000,0.000,13.333,20.000,10.000,0.000,0.000,13.333,6.667,0.000,0.000,0.000,6.667,6.667,0.000
